,Name,Position,Number,Height,Academic Year,Hometown,Highschool,Weight,Year,Team
15,Jenell Grier-Spratley,Jumps,,,So.,"Alexandria, Va.",Thomas Edison,,2016-17,womens track and field
16,Anna Guo,Jumps,,,Sr.,"Pullman, Wash.",Pullman,,2016-17,womens track and field
17,Lily Hayes,Pole Vault,,,Jr.,"Milwaukee, Wis.",Whitefish Bay,,2016-17,womens track and field
18,Audrey Holt,Sprints,,,Jr.,"Alpharetta, Ga.",Alpharetta,,2016-17,womens track and field
19,Calla Isaac,Sprints,,,Fr.,"Sherwood Park, Alberta",Sherwood Park,,2016-17,womens track and field
20,Carleen Jeffers,Distance,,,So.,"Ridgewood, N.J.",Ridgewood,,2016-17,womens track and field
21,Kennedy Kerr,Sprints,,,Fr.,"West Hempstead, N.Y.",Long Island Lutheran,,2016-17,womens track and field
22,Liana Kramer,Middle Distance,,,Sr.,"McLean, VA",Langley,,2016-17,womens track and field
23,Melissa Lee,Throws,,,Fr.,"Irvine, Calif.",University,,2016-17,womens track and field
24,Alyssa Leto,Sprints,,,So.,"Holbrook, N.Y.",Sachem North,,2016-17,womens track and field
25,Zion Lewis,Sprints,,,Fr.,"Canton, Ga.",Blessed Trinity,,2016-17,womens track and field
26,Katie Lomuto,Distance,,,Sr.,"Rockville Centre, N.Y,",South Side High School,,2016-17,womens track and field
27,Eliza Lukens-Day,Distance,,,Sr.,"Philadelphia, Pa.",Germantown Friends,,2016-17,womens track and field
28,Katia Matora,Distance,,,So.,"Redmond, Wash.",Lake Washington,,2016-17,womens track and field
29,Emma McMillan,Distance,,,Fr.,"Barrington, R.I.",Barrington,,2016-17,womens track and field
30,Josie Natrasevschi,Throws,,,Jr.,"Fort Collins, Colo.",Fort Collins High,,2016-17,womens track and field
31,Jeanine Noordam,Middle Distance,,,Jr.,"San Jose, Calif.",Pioneer,,2016-17,womens track and field
32,Uloma Nwaolu,Jumps,,,So.,"Washington, D.C.",James W. Robinson,,2016-17,womens track and field
33,Kendra Offiaeli,Throws,,,Fr.,"South Windsor, Conn.",Loomis Chaffee,,2016-17,womens track and field
34,Maxine Offiaeli,Throws,,,Jr.,"South Windsor, Conn.",Loomis Chaffee,,2016-17,womens track and field
35,Catherine Ohrt,Sprints,,,Fr.,"Houston, Texas",Houston International,,2016-17,womens track and field
36,Isabelle Olive,Middle Distance,,,Fr.,"Seattle, Wash.",Garfield,,2016-17,womens track and field
37,Carly Paul,Multi Events,,,Jr.,"Fort Collins, Colo.",Poudre,,2016-17,womens track and field
38,Clare Peabody,Middle Distance,,,Jr.,"Aptos, Calif.",Aptos,,2016-17,womens track and field
39,Tara Pelton,Sprints,,,Fr.,"Parker, Colo.",Legend,,2016-17,womens track and field
40,Megan Ratcliffe,Distance,,,Jr.,"Carlisle, Mass.",Concord-Carlisle,,2016-17,womens track and field
41,Shari Rauls,Middle Distance,,,Fr.,"Larchmont, N.Y.",Mamoroneck,,2016-17,womens track and field
42,Aubryn Samaroo,Jumps,,,Sr.,"Grosse Point, Mich.",Grosse Point South,,2016-17,womens track and field
43,Erin Schaeffer,Jumps,,,Sr.,"Franklin, Conn.",Norwich Free Academy,,2016-17,womens track and field
44,Natalie Schudrowitz,Middle Distance,,,Jr.,"Milwaukee, Wis.",Wauwatosa East,,2016-17,womens track and field
45,Shandell Scott,Jumps,,,Sr.,"Norfolk, Va.",Norview,,2016-17,womens track and field
46,Olivia Seifert,Throws,,,Fr.,"Rockville Center, N.Y.",St. Anthony's,,2016-17,womens track and field
47,Ariel Silverman,Distance,,,So.,"Santa Monica, Calif.",Santa Monica,,2016-17,womens track and field
48,Emma Sloan,Distance,,,So.,"Franklin, Tenn.",Ensworth,,2016-17,womens track and field
49,Nicole Spring,Jumps,,,Fr.,"Sacramento, Calif.",St. Francis,,2016-17,womens track and field
50,Lucy Srour,Distance,,,So.,"Potomac, Md.",Winston Churchill,,2016-17,womens track and field
51,May Stern,Sprints,,,Fr.,"Providence, R.I.",Classical,,2016-17,womens track and field
52,Hannah Szapary,Distance,,,So.,"Wynnewood, Pa.",Friends' Central,,2016-17,womens track and field
53,Jillian Turner,Distance,,,Fr.,"New Providence, N.J.",New Providence,,2016-17,womens track and field
54,Kelsey Turner,Middle Distance,,,Fr.,"New Providence, N.J.",New Providence,,2016-17,womens track and field
55,Bridget van Dorsten,Jumps,,,So.,"Westport, Conn.",Staples,,2016-17,womens track and field
56,Lucy Van Kleunen,Distance,,,Sr.,"Philadelphia, Pa.",Central,,2016-17,womens track and field
57,Alexis Van Pernis,Distance,,,Jr.,"Kailua Kona, Hawaii",Hawaii Preparatory Academy,,2016-17,womens track and field
58,Mikela Waldman,Sprints,,,Jr.,"San Francisco, Calif.",Lowell,,2016-17,womens track and field
59,Safiya Walker,Hurdles,,,Sr.,"Hanover, N.H.",Hanover,,2016-17,womens track and field
60,Taylor Worthy,Distance,,,Sr.,"Medfield, Mass.",Medfield,,2016-17,womens track and field
61,Sarah Yoho,Middle Distance,,,Jr.,"Pasadena, Calif.",Flintridge Preparatory,,2016-17,womens track and field
0,Hanna Barakat,Sprints,,,So.,"Los Angeles, Calif.",Flintridge Preparatory,,2018-19,womens track and field
1,Isabela Bartczak,Distance,,,Fr.,"Orlando, Fla.",Dr. Phillips,,2018-19,womens track and field
2,Allison Bellows,Distance,,,Sr.,"Coventry, R.I.",Coventry,,2018-19,womens track and field
3,Jessica Bellows,Distance,,,Sr.,"Coventry, R.I.",Coventry,,2018-19,womens track and field
4,Mary Bibbey,Distance,,,Fr.,"Woodbury, Conn.",Nonnewaug,,2018-19,womens track and field
5,Amanda Block,Jumps,,,Jr.,"Beverly Hills, Calif.",Beverly Hills,,2018-19,womens track and field
6,Hannah Butler,Distance,,,So.,"Dewitt, N.Y.",Jamesville-Dewitt,,2018-19,womens track and field
7,Elise Claffey,Distance,,,Sr.,"Malvern, Pa.",Great Valley,,2018-19,womens track and field
8,Chloe Conway,Middle Distance,,,Jr.,"Manchester, N.H.",Bishop Guertin,,2018-19,womens track and field
9,Jae Crawford,Throws,,,Fr.,"Orlando, Fla.",William R. Boone,,2018-19,womens track and field
10,Arielle Desir,Sprints,,,Fr.,"Ridge, N.Y.",Longwood,,2018-19,womens track and field
11,Katherine Dokholyan,Distance,,,Fr.,"Chapel Hill, N.C.",Chapel Hill,,2018-19,womens track and field
12,Karlly Feng,Jumps,,,Jr.,"Temple City, Calif.",Temple City,,2018-19,womens track and field
13,Maddie Frey,Sprints,,,Fr.,"Waukesha, Wis.",Waukesha West,,2018-19,womens track and field
14,Anna Gibson,Distance,,,So.,"Jackson, Wyo.",Jackson Hole,,2018-19,womens track and field
15,Ally Hajda,Distance,,,So.,"Atlantic Beach, Fla.",Bolles,,2018-19,womens track and field
16,Calla Isaac,Sprints,,,Jr.,"Sherwood Park, Alberta",Sherwood Park,,2018-19,womens track and field
17,Carleen Jeffers,Distance,,,Sr.,"Ridgewood, N.J.",Ridgewood,,2018-19,womens track and field
18,Kennedy Kerr,Sprints,,,Jr.,"West Hempstead, N.Y.",Long Island Lutheran,,2018-19,womens track and field
19,Emily Kompelien,Distance,,,Fr.,"Edina, Minn.",Edina,,2018-19,womens track and field
20,Melissa Lee,Throws,,,Jr.,"Irvine, Calif.",University,,2018-19,womens track and field
21,Zion Lewis,Sprints,,,Jr.,"Canton, Ga.",Blessed Trinity,,2018-19,womens track and field
22,Ali Martinez,Distance,,,Fr.,"San Diego, Calif.",Olympian,,2018-19,womens track and field
23,Katia Matora,Distance,,,Sr.,"Redmond, Wash.",Lake Washington,,2018-19,womens track and field
24,Rachel McMahon,Jumps,,,Sr.,"New York, N.Y.",Trinity School,,2018-19,womens track and field
25,Erin McMeniman,Throws,,,Fr.,"Dracut, Mass.",Dracut,,2018-19,womens track and field
26,Josie Natrasevschi,Throws,,,Sr.,"Fort Collins, Colo.",Fort Collins High,,2018-19,womens track and field
27,Uloma Nwaolu,Jumps,,,Sr.,"Washington, D.C.",James W. Robinson,,2018-19,womens track and field
28,Abby O'Keefe,Sprints,,,Jr.,"St. Louis, Mo.",Worcester Academy (Mass.),,2018-19,womens track and field
29,Kendra Offiaeli,Throws,,,Jr.,"South Windsor, Conn.",Loomis Chaffee,,2018-19,womens track and field
30,Ifelola Olabode,Jumps,,,So.,"Orinda, Calif.",Miramonte,,2018-19,womens track and field
31,Bailey Pate,Distance,,,So.,"Valencia, Calif.",West Ranch,,2018-19,womens track and field
32,Carly Paul,Multi Events,,,Sr.,"Fort Collins, Colo.",Poudre,,2018-19,womens track and field
33,An Phan,Jumps,,,Sr.,"San Jose, Calif.",St Teresa High,,2018-19,womens track and field
34,Shari Rauls,Middle Distance,,,Jr.,"Larchmont, N.Y.",Mamoroneck,,2018-19,womens track and field
35,Mollie Redman,Jumps,,,So.,"Bedford, N.H.",Bedford,,2018-19,womens track and field
36,Felicia Renelus,Jumps,,,So.,"Valley Stream, N.Y.",Deerfield Academy,,2018-19,womens track and field
37,Sydney Scott,Jumps,,,Fr.,"Charlotte, N.C.",Charlotte Latin,,2018-19,womens track and field
38,Olivia Seifert,Throws,,,Jr.,"Rockville Center, N.Y.",St. Anthony's,,2018-19,womens track and field
39,Hannah Sexton,Multi Events,,,So.,"Perkasie, Pa.",Central Bucks,,2018-19,womens track and field
40,Ariel Silverman,Distance,,,Sr.,"Santa Monica, Calif.",Santa Monica,,2018-19,womens track and field
41,Emily Skahill,Distance,,,So.,"Morgan Hill, Calif.",Saint Francis,,2018-19,womens track and field
42,Maya Smith,Distance,,,Fr.,"Flagstaff, Ariz.",Northland Prep,,2018-19,womens track and field
43,Lucy Srour,Distance,,,Sr.,"Potomac, Md.",Winston Churchill,,2018-19,womens track and field
44,Lauren Stern,Jumps,,,Fr.,"Mahwah, N.J.",Mahwah,,2018-19,womens track and field
45,May Stern,Sprints,,,Jr.,"Providence, R.I.",Classical,,2018-19,womens track and field
46,Shira Stoller,Throws,,,Fr.,"Sharon, Mass.",Sharon,,2018-19,womens track and field
47,Hannah Szapary,Distance,,,Sr.,"Wynnewood, Pa.",Friends' Central,,2018-19,womens track and field
48,Katherine Treanor,Distance,,,Jr.,"Chevy Chase, Md.",Georgetown Day (Amherst),,2018-19,womens track and field
49,Kelsey Turner,Middle Distance,,,Jr.,"New Providence, N.J.",New Providence,,2018-19,womens track and field
50,Ijeoma Uche,Jumps,,,So.,"Lawrenceville, Ga.",Collins Hill,,2018-19,womens track and field
51,Samantha Valentine,Distance,,,So.,"Middleton, Wis.",Middleton,,2018-19,womens track and field
52,Serena Varner,Jumps,,,Fr.,"Ypsilanti, Mich.",Washtenaw International,,2018-19,womens track and field
53,Gracie Whelan,Sprints,,,So.,"Charlotte, N.C.",Providence Day,,2018-19,womens track and field
54,Gwenyth Winship,Sprints,,,Sr.,"Bedford, N.H.",Bedford,,2018-19,womens track and field
0,Kate Alvarez,Throws,,,Fr.,"West Warwick, R.I.",West Warwick,,2019-20,womens track and field
1,Maggie Baker,Middle Distance,,,Fr.,,"cer Island, Wash.",,2019-20,womens track and field
2,Hanna Barakat,Sprints,,,Jr.,"Los Angeles, Calif.",Flintridge Preparatory,,2019-20,womens track and field
3,Isabela Bartczak,Distance,,,So.,"Orlando, Fla.",Dr. Phillips,,2019-20,womens track and field
4,Flynn Begor,Sprints,,,Fr.,," Lebanon, Pa.",,2019-20,womens track and field
5,Mary Bibbey,Distance,,,So.,"Woodbury, Conn.",Nonnewaug,,2019-20,womens track and field
6,Hannah Butler,Distance,,,Jr.,"Dewitt, N.Y.",Jamesville-Dewitt,,2019-20,womens track and field
7,Chloe Conway,Middle Distance,,,Sr.,"Manchester, N.H.",Bishop Guertin,,2019-20,womens track and field
8,Jae Crawford,Throws,,,So.,"Orlando, Fla.",William R. Boone,,2019-20,womens track and field
9,Arielle Desir,Sprints,,,So.,"Ridge, N.Y.",Longwood,,2019-20,womens track and field
10,Katherine Dokholyan,Distance,,,So.,"Chapel Hill, N.C.",Chapel Hill,,2019-20,womens track and field
11,Lily Dumas,Multi Events,,,Fr.,,"den, Mass.",,2019-20,womens track and field
12,Maddie Frey,Sprints,,,So.,"Waukesha, Wis.",Waukesha West,,2019-20,womens track and field
13,Ally Hajda,Distance,,,Jr.,"Atlantic Beach, Fla.",Bolles,,2019-20,womens track and field
14,Maggie Hilkert,Sprints,,,Fr.,"Cleveland, Ohio",Laurel School,,2019-20,womens track and field
15,Calla Isaac,Sprints,,,Sr.,"Sherwood Park, Alberta",Sherwood Park,,2019-20,womens track and field
16,Kennedy Kerr,Sprints,,,Sr.,"West Hempstead, N.Y.",Long Island Lutheran,,2019-20,womens track and field
17,Emily Kompelien,Distance,,,So.,"Edina, Minn.",Edina,,2019-20,womens track and field
18,Zion Lewis,Sprints,,,Sr.,"Canton, Ga.",Blessed Trinity,,2019-20,womens track and field
19,Emma Madgic,Middle Distance,,,Fr.,," Mateo, Calif.",,2019-20,womens track and field
20,Ali Martinez,Distance,,,So.,"San Diego, Calif.",Olympian,,2019-20,womens track and field
21,Erin McMeniman,Throws,,,So.,"Dracut, Mass.",Dracut,,2019-20,womens track and field
22,Emily Moini,Distance,,,Fr.,,"nceton, N.J.",,2019-20,womens track and field
23,Kendra Offiaeli,Throws,,,Sr.,"South Windsor, Conn.",Loomis Chaffee,,2019-20,womens track and field
24,Ify Ofulue,Throws,,,Fr.,,"ress, Texas",,2019-20,womens track and field
25,Ifelola Olabode,Jumps,,,Jr.,"Orinda, Calif.",Miramonte,,2019-20,womens track and field
26,Bailey Pate,Distance,,,Jr.,"Valencia, Calif.",West Ranch,,2019-20,womens track and field
27,Shari Rauls,Middle Distance,,,Sr.,"Larchmont, N.Y.",Mamoroneck,,2019-20,womens track and field
28,Sarah Reichheld,Distance,,,Fr.,,"cord, Mass.",,2019-20,womens track and field
29,Felicia Renelus,Jumps,,,Jr.,"Valley Stream, N.Y.",Deerfield Academy,,2019-20,womens track and field
30,Sydney Scott,Jumps,,,So.,"Charlotte, N.C.",Charlotte Latin,,2019-20,womens track and field
31,Emily Skahill,Distance,,,Jr.,"Morgan Hill, Calif.",Saint Francis,,2019-20,womens track and field
32,Maya Smith,Distance,,,So.,"Flagstaff, Ariz.",Northland Prep,,2019-20,womens track and field
33,Lauren Stern,Jumps,,,So.,"Mahwah, N.J.",Mahwah,,2019-20,womens track and field
34,May Stern,Sprints,,,Sr.,"Providence, R.I.",Classical,,2019-20,womens track and field
35,Shira Stoller,Throws,,,So.,"Sharon, Mass.",Sharon,,2019-20,womens track and field
36,Margaux Terrasson,Middle Distance,,,Fr.,,"hattan, N.Y.",,2019-20,womens track and field
37,Katherine Treanor,Distance,,,Sr.,"Chevy Chase, Md.",Georgetown Day (Amherst),,2019-20,womens track and field
38,Ijeoma Uche,Jumps,,,Jr.,"Lawrenceville, Ga.",Collins Hill,,2019-20,womens track and field
39,Samantha Valentine,Distance,,,Jr.,"Middleton, Wis.",Middleton,,2019-20,womens track and field
40,Serena Varner,Jumps,,,So.,"Ypsilanti, Mich.",Washtenaw International,,2019-20,womens track and field
41,Kennedy Waite,Sprints,,,Fr.,,"dland Hills, Calif.",,2019-20,womens track and field
42,Gracie Whelan,Sprints,,,Jr.,"Charlotte, N.C.",Providence Day,,2019-20,womens track and field
43,Amy Willig,Middle Distance,,,Fr.,,"enixville, Pa.",,2019-20,womens track and field
0,Kate Alvarez,Throws,,,So.,"West Warwick, R.I.",West Warwick,,2020-21,womens track and field
1,Maggie Baker,Middle Distance,,,So.,,"cer Island, Wash.",,2020-21,womens track and field
2,Hanna Barakat,Sprints,,,Sr.,"Los Angeles, Calif.",Flintridge Preparatory,,2020-21,womens track and field
3,Isabela Bartczak,Distance,,,Jr.,"Orlando, Fla.",Dr. Phillips,,2020-21,womens track and field
4,Aaliyah  Battle,Throws,,,Fr.,"Daytona Beach, Fla.",Spruce Creek,,2020-21,womens track and field
5,Flynn Begor,Sprints,,,So.,," Lebanon, Pa.",,2020-21,womens track and field
6,Mary Bibbey,Distance,,,Jr.,"Woodbury, Conn.",Nonnewaug,,2020-21,womens track and field
7,Hannah Butler,Distance,,,Sr.,"Dewitt, N.Y.",Jamesville-Dewitt,,2020-21,womens track and field
8,Jae Crawford,Throws,,,Jr.,"Orlando, Fla.",William R. Boone,,2020-21,womens track and field
9,Daryn Davis,Multi Events,,,Fr.,"Huntley, Ill.",Huntley,,2020-21,womens track and field
10,Arielle Desir,Sprints,,,Jr.,"Ridge, N.Y.",Longwood,,2020-21,womens track and field
11,Grace Desmond,Multi Events,,,So.,"Westborough, Mass.",Westborough,,2020-21,womens track and field
12,Katherine Dokholyan,Distance,,,Jr.,"Chapel Hill, N.C.",Chapel Hill,,2020-21,womens track and field
13,Allison Drage,Distance,,,Fr.,"Lake Barrington, Ill.",Barrington,,2020-21,womens track and field
14,Lily Dumas,Multi Events,,,So.,,"den, Mass.",,2020-21,womens track and field
15,Kendra Ezeama,Throws,,,Fr.,"Smithfield, R.I.",Smithfield,,2020-21,womens track and field
16,Emily Faulhaber,Distance,,,Fr.,"Ft. Lauderdale, Fla.",Pine Crest School,,2020-21,womens track and field
17,Hailey Freedman,Distance,,,Jr.,"Chapel Hill, N.C.",Cardinal Gibbons,,2020-21,womens track and field
18,Maddie Frey,Sprints,,,Jr.,"Waukesha, Wis.",Waukesha West,,2020-21,womens track and field
19,Emma Gallant,Sprints,,,Fr.,"Windham, Maine",Cheverus,,2020-21,womens track and field
20,Tevah Gevelber,Distance,,,Fr.,"Palo Alto, Calif.",Castilleja,,2020-21,womens track and field
21,Felicity Hade,Distance,,,Fr.,"Shorewood, Wis.",Shorewood,,2020-21,womens track and field
22,Ally Hajda,Distance,,,Sr.,"Atlantic Beach, Fla.",Bolles,,2020-21,womens track and field
23,Maggie Hilkert,Sprints,,,So.,"Cleveland, Ohio",Laurel School,,2020-21,womens track and field
24,Emily Kompelien,Distance,,,Jr.,"Edina, Minn.",Edina,,2020-21,womens track and field
25,Stephanie Kriss,Distance,,,Fr.,"Highland Park, Ill.",Highland Park,,2020-21,womens track and field
26,Emma Madgic,Middle Distance,,,So.,," Mateo, Calif.",,2020-21,womens track and field
27,Brooklyn Manna,Multi Events,,,Fr.,"Woburn, Mass.",Woburn Memorial,,2020-21,womens track and field
28,Cecilia Marrinan,Sprints,,,Fr.,"Skaneateles, N.Y.",St. Paul’s School,,2020-21,womens track and field
29,Ali Martinez,Distance,,,Jr.,"San Diego, Calif.",Olympian,,2020-21,womens track and field
30,Anjoli Mathew,Sprints,,,Fr.,"Brookline, Mass.",Brookline,,2020-21,womens track and field
31,Maddie McCarthy,Distance,,,So.,"Barrington, R.I.",Northwood School,,2020-21,womens track and field
32,Erin McMeniman,Throws,,,Jr.,"Dracut, Mass.",Dracut,,2020-21,womens track and field
33,Emily Moini,Distance,,,So.,,"nceton, N.J.",,2020-21,womens track and field
34,Chiamaka Odenigbo,Multi Events,,,Fr.,"New Rochelle, N.Y.",New Rochelle,,2020-21,womens track and field
35,Danna Ofek,Distance,,,Fr.,"Lexington, Mass.",Lexington,,2020-21,womens track and field
36,Ify Ofulue,Throws,,,So.,,"ress, Texas",,2020-21,womens track and field
37,Ifelola Olabode,Jumps,,,Sr.,"Orinda, Calif.",Miramonte,,2020-21,womens track and field
38,Katie Orchard,Distance ,,,Fr.,"Springfield, Va.",West Springfield,,2020-21,womens track and field
39,Bailey Pate,Distance,,,Sr.,"Valencia, Calif.",West Ranch,,2020-21,womens track and field
40,Sarah Reichheld,Distance,,,So.,,"cord, Mass.",,2020-21,womens track and field
41,Felicia Renelus,Jumps,,,Sr.,"Valley Stream, N.Y.",Deerfield Academy,,2020-21,womens track and field
42,Kelly Rothenberg,Throws,,,Fr.,"Yardley, Pa.",Mount Saint Joseph Academy,,2020-21,womens track and field
43,Caroline Sassan,Distance,,,Fr.,"Maple Grove, Minn.",Wayzata,,2020-21,womens track and field
44,Sydney Scott,Jumps,,,Jr.,"Charlotte, N.C.",Charlotte Latin,,2020-21,womens track and field
45,Sara Shipon,Distance,,,Fr.,"Philadelphia, Pa.",William Penn Charter School,,2020-21,womens track and field
46,Emily Skahill,Distance,,,Sr.,"Morgan Hill, Calif.",Saint Francis,,2020-21,womens track and field
47,Maya Smith,Distance,,,Jr.,"Flagstaff, Ariz.",Northland Prep,,2020-21,womens track and field
48,Lauren Stern,Jumps,,,Jr.,"Mahwah, N.J.",Mahwah,,2020-21,womens track and field
49,Jaiden Stokes,Sprints,,,Fr.,"Westerville, Ohio",Westerville North,,2020-21,womens track and field
50,Shira Stoller,Throws,,,Jr.,"Sharon, Mass.",Sharon,,2020-21,womens track and field
51,Isa Stronski,Distance,,,Fr.,"Bronxville, N.Y.",Rye Country Day School,,2020-21,womens track and field
52,Margaux Terrasson,Middle Distance,,,So.,,"hattan, N.Y.",,2020-21,womens track and field
53,Zoe Tsoukas,Jumps,,,Fr.,"Miami, Fla.",Ransom Everglades,,2020-21,womens track and field
54,Ijeoma Uche,Jumps,,,Sr.,"Lawrenceville, Ga.",Collins Hill,,2020-21,womens track and field
55,Brooke Ury,Multi Events,,,Fr.,"Newcastle, Wash.",Liberty,,2020-21,womens track and field
56,Samantha Valentine,Distance,,,Sr.,"Middleton, Wis.",Middleton,,2020-21,womens track and field
57,Kennedy Waite,Sprints,,,So.,,"dland Hills, Calif.",,2020-21,womens track and field
58,Gracie Whelan,Sprints,,,Sr.,"Charlotte, N.C.",Providence Day,,2020-21,womens track and field
59,Amy Willig,Middle Distance,,,So.,,"enixville, Pa.",,2020-21,womens track and field
60,Lauren Yeboah-Kodie,Multi Events ,,,Fr.,"Woodbridge, Va.",Colgan,,2020-21,womens track and field
0,Chidinma Agbasi,Throws,,,Fr.,"Jamaica, N.Y.",Bronx High School of Science,,2021-22,womens track and field
1,Gianna Aiello,Throws,,,Fr.,"Matawan, N.J.",Matawan Regional,,2021-22,womens track and field
2,Kate Alvarez,Throws,,,Jr.,"West Warwick, R.I.",West Warwick,,2021-22,womens track and field
3,Maggie Baker,Middle Distance,,,Jr.,,"cer Island, Wash.",,2021-22,womens track and field
4,Hanna Barakat,Sprints,,,Gr.,"Los Angeles, Calif.",Flintridge Preparatory,,2021-22,womens track and field
5,Aaliyah  Battle,Throws,,,So.,"Daytona Beach, Fla.",Spruce Creek,,2021-22,womens track and field
6,Rudecia Bernard,Jumps,,,Fr.,"Dedham, Mass.",Dedham,,2021-22,womens track and field
7,Mary Bibbey,Distance,,,Sr.,"Woodbury, Conn.",Nonnewaug,,2021-22,womens track and field
8,Mya Collins,Sprints,,,Fr.,"Frisco, Texas",Calabasas (Calif.),,2021-22,womens track and field
9,Jae Crawford,Throws,,,Sr.,"Orlando, Fla.",William R. Boone,,2021-22,womens track and field
10,Daryn Davis,Multi Events,,,So.,"Huntley, Ill.",Huntley,,2021-22,womens track and field
11,Arielle Desir,Sprints,,,Sr.,"Ridge, N.Y.",Longwood,,2021-22,womens track and field
12,Grace Desmond,Multi Events,,,Jr.,"Westborough, Mass.",Westborough,,2021-22,womens track and field
13,Katherine Dokholyan,Distance,,,Sr.,"Chapel Hill, N.C.",Chapel Hill,,2021-22,womens track and field
14,Grace Dorantes,Year Fr.,,,,ol Claremont,r Grace Dorantes,,2021-22,womens track and field
15,Allison Drage,Distance,,,So.,"Lake Barrington, Ill.",Barrington,,2021-22,womens track and field
16,Nicolette Ducharme,Throws,,,Fr.,"Cumberland, R.I.",Cumberland,,2021-22,womens track and field
17,Lily Dumas,Multi Events,,,Jr.,,"den, Mass.",,2021-22,womens track and field
18,Kendra Ezeama,Throws,,,So.,"Smithfield, R.I.",Smithfield,,2021-22,womens track and field
19,Emily Faulhaber,Distance,,,So.,"Ft. Lauderdale, Fla.",Pine Crest School,,2021-22,womens track and field
20,Hailey Freedman,Distance,,,Sr.,"Chapel Hill, N.C.",Cardinal Gibbons,,2021-22,womens track and field
21,Maddie Frey,Sprints,,,Sr.,"Waukesha, Wis.",Waukesha West,,2021-22,womens track and field
22,Emma Gallant,Sprints,,,So.,"Windham, Maine",Cheverus,,2021-22,womens track and field
23,Sophia Gallucci,Throws,,,Fr.,"Coventry, R.I.",Coventry,,2021-22,womens track and field
24,Tevah Gevelber,Distance,,,So.,"Palo Alto, Calif.",Castilleja,,2021-22,womens track and field
25,Felicity Hade,Distance,,,So.,"Shorewood, Wis.",Shorewood,,2021-22,womens track and field
26,Lily Harding,Distance,,,Fr.,"Kentfield, Calif.",Thacher School,,2021-22,womens track and field
27,Maggie Hilkert,Sprints,,,Fr.,"Cleveland, Ohio",Laurel School,,2021-22,womens track and field
28,Jada Joseph,Jumps,,,Fr.,"Plantation, Fla.",American Heritage School,,2021-22,womens track and field
29,Emily Kompelien,Distance,,,Sr.,"Edina, Minn.",Edina,,2021-22,womens track and field
30,Celia Kong-Johnson,Sprints,,,Fr.,"Honolulu, Hawaii",Punahou School,,2021-22,womens track and field
31,Stephanie Kriss,Distance,,,So.,"Highland Park, Ill.",Highland Park,,2021-22,womens track and field
32,Emma Madgic,Middle Distance,,,Jr.,," Mateo, Calif.",,2021-22,womens track and field
33,Brooklyn Manna,Multis/Jumps,,,So.,"Woburn, Mass.",Woburn Memorial,,2021-22,womens track and field
34,Cecilia Marrinan,Sprints,,,So.,"Skaneateles, N.Y.",St. Paul’s School,,2021-22,womens track and field
35,Ali Martinez,Distance,,,Sr.,"San Diego, Calif.",Olympian,,2021-22,womens track and field
36,Anjoli Mathew,Sprints,,,So.,"Brookline, Mass.",Brookline,,2021-22,womens track and field
37,Isolde McManus,Distance,,,Fr.,"Cortlandt Manor, N.Y.",Hendrick Hudson,,2021-22,womens track and field
38,Erin McMeniman,Throws,,,Sr.,"Dracut, Mass.",Dracut,,2021-22,womens track and field
39,Emily Moini,Distance,,,Jr.,,"nceton, N.J.",,2021-22,womens track and field
40,Maxine Montoya,Distance,,,Fr.,"Atlantic Beach, Fla.",The Bolles School,,2021-22,womens track and field
41,Chiamaka Odenigbo,Multis/Jumps,,,So.,"New Rochelle, N.Y.",New Rochelle,,2021-22,womens track and field
42,Danna Ofek,Distance,,,So.,"Lexington, Mass.",Lexington,,2021-22,womens track and field
43,Ify Ofulue,Throws,,,Jr.,,"ress, Texas",,2021-22,womens track and field
44,Katie Orchard,Distance ,,,So.,"Springfield, Va.",West Springfield,,2021-22,womens track and field
45,Mackenzie Palinski,Throws,,,Fr.,"Gates Mills, Ohio",Gilmour Academy,,2021-22,womens track and field
46,Kenzii Phillips,Throws,,,Fr.,"Lookingglass, Ore.",Douglas,,2021-22,womens track and field
47,Sarah Reichheld,Distance,,,Jr.,,"cord, Mass.",,2021-22,womens track and field
48,Lily Reynolds,Jumps,,,Fr.,"Beaverton, Ore.",Beaverton,,2021-22,womens track and field
49,Kelly Rothenberg,Throws,,,So.,"Yardley, Pa.",Mount Saint Joseph Academy,,2021-22,womens track and field
50,Caroline Sassan,Distance,,,So.,"Maple Grove, Minn.",Wayzata,,2021-22,womens track and field
51,Sydney Scott,Jumps,,,Sr.,"Charlotte, N.C.",Charlotte Latin,,2021-22,womens track and field
52,Delaney Seligmann,Multis/Jumps,,,Fr.,"Oak Park, Ill.",Fenwick,,2021-22,womens track and field
53,Sara Shipon,Mid-Distance,,,So.,"Philadelphia, Pa.",William Penn Charter School,,2021-22,womens track and field
54,Anna Steffen,Distance,,,Fr.,"Madison, Conn.",Daniel Hand,,2021-22,womens track and field
55,Lauren Stern,Jumps,,,Sr.,"Mahwah, N.J.",Mahwah,,2021-22,womens track and field
56,Jaiden Stokes,Sprints,,,So.,"Westerville, Ohio",Westerville North,,2021-22,womens track and field
57,Shira Stoller,Throws,,,Sr.,"Sharon, Mass.",Sharon,,2021-22,womens track and field
58,Isa Stronski,Distance,,,So.,"Bronxville, N.Y.",Rye Country Day School,,2021-22,womens track and field
